atascii_dec,atascii_hex,base_code,inverse,screen_dec,screen_hex,round_trip
0,00,0,0,64,40,0
1,01,1,0,65,41,1
2,02,2,0,66,42,2
3,03,3,0,67,43,3
4,04,4,0,68,44,4
5,05,5,0,69,45,5
6,06,6,0,70,46,6
7,07,7,0,71,47,7
8,08,8,0,72,48,8
9,09,9,0,73,49,9
10,0A,10,0,74,4A,10
11,0B,11,0,75,4B,11
12,0C,12,0,76,4C,12
13,0D,13,0,77,4D,13
14,0E,14,0,78,4E,14
15,0F,15,0,79,4F,15
16,10,16,0,80,50,16
17,11,17,0,81,51,17
18,12,18,0,82,52,18
19,13,19,0,83,53,19
20,14,20,0,84,54,20
21,15,21,0,85,55,21
22,16,22,0,86,56,22
23,17,23,0,87,57,23
24,18,24,0,88,58,24
25,19,25,0,89,59,25
26,1A,26,0,90,5A,26
27,1B,27,0,91,5B,27
28,1C,28,0,92,5C,28
29,1D,29,0,93,5D,29
30,1E,30,0,94,5E,30
31,1F,31,0,95,5F,31
32,20,32,0,0,00,32
33,21,33,0,1,01,33
34,22,34,0,2,02,34
35,23,35,0,3,03,35
36,24,36,0,4,04,36
37,25,37,0,5,05,37
38,26,38,0,6,06,38
39,27,39,0,7,07,39
40,28,40,0,8,08,40
41,29,41,0,9,09,41
42,2A,42,0,10,0A,42
43,2B,43,0,11,0B,43
44,2C,44,0,12,0C,44
45,2D,45,0,13,0D,45
46,2E,46,0,14,0E,46
47,2F,47,0,15,0F,47
48,30,48,0,16,10,48
49,31,49,0,17,11,49
50,32,50,0,18,12,50
51,33,51,0,19,13,51
52,34,52,0,20,14,52
53,35,53,0,21,15,53
54,36,54,0,22,16,54
55,37,55,0,23,17,55
56,38,56,0,24,18,56
57,39,57,0,25,19,57
58,3A,58,0,26,1A,58
59,3B,59,0,27,1B,59
60,3C,60,0,28,1C,60
61,3D,61,0,29,1D,61
62,3E,62,0,30,1E,62
63,3F,63,0,31,1F,63
64,40,64,0,32,20,64
65,41,65,0,33,21,65
66,42,66,0,34,22,66
67,43,67,0,35,23,67
68,44,68,0,36,24,68
69,45,69,0,37,25,69
70,46,70,0,38,26,70
71,47,71,0,39,27,71
72,48,72,0,40,28,72
73,49,73,0,41,29,73
74,4A,74,0,42,2A,74
75,4B,75,0,43,2B,75
76,4C,76,0,44,2C,76
77,4D,77,0,45,2D,77
78,4E,78,0,46,2E,78
79,4F,79,0,47,2F,79
80,50,80,0,48,30,80
81,51,81,0,49,31,81
82,52,82,0,50,32,82
83,53,83,0,51,33,83
84,54,84,0,52,34,84
85,55,85,0,53,35,85
86,56,86,0,54,36,86
87,57,87,0,55,37,87
88,58,88,0,56,38,88
89,59,89,0,57,39,89
90,5A,90,0,58,3A,90
91,5B,91,0,59,3B,91
92,5C,92,0,60,3C,92
93,5D,93,0,61,3D,93
94,5E,94,0,62,3E,94
95,5F,95,0,63,3F,95
96,60,96,0,96,60,96
97,61,97,0,97,61,97
98,62,98,0,98,62,98
99,63,99,0,99,63,99
100,64,100,0,100,64,100
101,65,101,0,101,65,101
102,66,102,0,102,66,102
103,67,103,0,103,67,103
104,68,104,0,104,68,104
105,69,105,0,105,69,105
106,6A,106,0,106,6A,106
107,6B,107,0,107,6B,107
108,6C,108,0,108,6C,108
109,6D,109,0,109,6D,109
110,6E,110,0,110,6E,110
111,6F,111,0,111,6F,111
112,70,112,0,112,70,112
113,71,113,0,113,71,113
114,72,114,0,114,72,114
115,73,115,0,115,73,115
116,74,116,0,116,74,116
117,75,117,0,117,75,117
118,76,118,0,118,76,118
119,77,119,0,119,77,119
120,78,120,0,120,78,120
121,79,121,0,121,79,121
122,7A,122,0,122,7A,122
123,7B,123,0,123,7B,123
124,7C,124,0,124,7C,124
125,7D,125,0,125,7D,125
126,7E,126,0,126,7E,126
127,7F,127,0,127,7F,127
128,80,0,1,192,C0,128
129,81,1,1,193,C1,129
130,82,2,1,194,C2,130
131,83,3,1,195,C3,131
132,84,4,1,196,C4,132
133,85,5,1,197,C5,133
134,86,6,1,198,C6,134
135,87,7,1,199,C7,135
136,88,8,1,200,C8,136
137,89,9,1,201,C9,137
138,8A,10,1,202,CA,138
139,8B,11,1,203,CB,139
140,8C,12,1,204,CC,140
141,8D,13,1,205,CD,141
142,8E,14,1,206,CE,142
143,8F,15,1,207,CF,143
144,90,16,1,208,D0,144
145,91,17,1,209,D1,145
146,92,18,1,210,D2,146
147,93,19,1,211,D3,147
148,94,20,1,212,D4,148
149,95,21,1,213,D5,149
150,96,22,1,214,D6,150
151,97,23,1,215,D7,151
152,98,24,1,216,D8,152
153,99,25,1,217,D9,153
154,9A,26,1,218,DA,154
155,9B,27,1,219,DB,155
156,9C,28,1,220,DC,156
157,9D,29,1,221,DD,157
158,9E,30,1,222,DE,158
159,9F,31,1,223,DF,159
160,A0,32,1,128,80,160
161,A1,33,1,129,81,161
162,A2,34,1,130,82,162
163,A3,35,1,131,83,163
164,A4,36,1,132,84,164
165,A5,37,1,133,85,165
166,A6,38,1,134,86,166
167,A7,39,1,135,87,167
168,A8,40,1,136,88,168
169,A9,41,1,137,89,169
170,AA,42,1,138,8A,170
171,AB,43,1,139,8B,171
172,AC,44,1,140,8C,172
173,AD,45,1,141,8D,173
174,AE,46,1,142,8E,174
175,AF,47,1,143,8F,175
176,B0,48,1,144,90,176
177,B1,49,1,145,91,177
178,B2,50,1,146,92,178
179,B3,51,1,147,93,179
180,B4,52,1,148,94,180
181,B5,53,1,149,95,181
182,B6,54,1,150,96,182
183,B7,55,1,151,97,183
184,B8,56,1,152,98,184
185,B9,57,1,153,99,185
186,BA,58,1,154,9A,186
187,BB,59,1,155,9B,187
188,BC,60,1,156,9C,188
189,BD,61,1,157,9D,189
190,BE,62,1,158,9E,190
191,BF,63,1,159,9F,191
192,C0,64,1,160,A0,192
193,C1,65,1,161,A1,193
194,C2,66,1,162,A2,194
195,C3,67,1,163,A3,195
196,C4,68,1,164,A4,196
197,C5,69,1,165,A5,197
198,C6,70,1,166,A6,198
199,C7,71,1,167,A7,199
200,C8,72,1,168,A8,200
201,C9,73,1,169,A9,201
202,CA,74,1,170,AA,202
203,CB,75,1,171,AB,203
204,CC,76,1,172,AC,204
205,CD,77,1,173,AD,205
206,CE,78,1,174,AE,206
207,CF,79,1,175,AF,207
208,D0,80,1,176,B0,208
209,D1,81,1,177,B1,209
210,D2,82,1,178,B2,210
211,D3,83,1,179,B3,211
212,D4,84,1,180,B4,212
213,D5,85,1,181,B5,213
214,D6,86,1,182,B6,214
215,D7,87,1,183,B7,215
216,D8,88,1,184,B8,216
217,D9,89,1,185,B9,217
218,DA,90,1,186,BA,218
219,DB,91,1,187,BB,219
220,DC,92,1,188,BC,220
221,DD,93,1,189,BD,221
222,DE,94,1,190,BE,222
223,DF,95,1,191,BF,223
224,E0,96,1,224,E0,224
225,E1,97,1,225,E1,225
226,E2,98,1,226,E2,226
227,E3,99,1,227,E3,227
228,E4,100,1,228,E4,228
229,E5,101,1,229,E5,229
230,E6,102,1,230,E6,230
231,E7,103,1,231,E7,231
232,E8,104,1,232,E8,232
233,E9,105,1,233,E9,233
234,EA,106,1,234,EA,234
235,EB,107,1,235,EB,235
236,EC,108,1,236,EC,236
237,ED,109,1,237,ED,237
238,EE,110,1,238,EE,238
239,EF,111,1,239,EF,239
240,F0,112,1,240,F0,240
241,F1,113,1,241,F1,241
242,F2,114,1,242,F2,242
243,F3,115,1,243,F3,243
244,F4,116,1,244,F4,244
245,F5,117,1,245,F5,245
246,F6,118,1,246,F6,246
247,F7,119,1,247,F7,247
248,F8,120,1,248,F8,248
249,F9,121,1,249,F9,249
250,FA,122,1,250,FA,250
251,FB,123,1,251,FB,251
252,FC,124,1,252,FC,252
253,FD,125,1,253,FD,253
254,FE,126,1,254,FE,254
255,FF,127,1,255,FF,255
